    CPU_1(%)   CPU_2(%)  CPU_3(%) CPU_4(%)
	 6.1 		 1.0		5.1		0.0
	 5.0 		 2.0		7.0		0.0
	 34.0 		 4.0		30.7	4.0
	 5.0 		 0.0		8.1		2.0
	 4.0 		 2.0		6.9		1.0
	 6.0 		 1.0		5.9		0.0
	 5.0 		 0.0		5.9		1.0
	 8.8 		 0.0		3.0		1.0
	 7.0 		 1.0		6.0		1.0
	 5.9 		 1.0		5.9		1.0
	 7.8 		 0.0		5.9		1.0
	 6.0 		 1.0		3.0		0.0
	 6.9 		 0.0		5.0		0.0
	 7.1 		 1.0		5.0		0.0
	 5.9 		 0.0		5.0		1.0
	 5.0 		 2.0		6.0		1.0
	 5.0 		 1.0		5.9		1.0
	 16.8 		 2.0		6.0		0.0
	 6.0 		 1.0		7.0		0.0
	 5.9 		 1.0		5.9		0.0
	 6.0 		 1.0		6.9		0.0
	 5.9 		 1.0		6.0		2.0
	 6.9 		 1.0		12.9	0.0
	 21.8 		 12.1		16.8	12.9
	 6.1 		 2.0		4.0		1.0
	 6.0 		 1.0		4.0		1.0
	 10.0 		 2.0		8.0		1.0
	 3.0 		 1.0		6.1		0.0
	 8.9 		 2.0		6.0		1.0
	 5.0 		 1.0		7.8		0.0
	 5.9 		 0.0		4.9		1.0
	 13.9 		 4.0		15.8	2.0
	 20.8 		 9.9		18.8	8.9
	 18.8 		 9.9		20.0	10.9
	 31.7 		 8.0		29.7	7.9
	 29.0 		 5.0		28.0	4.0
	 22.4 		 6.0		22.8	5.0
	 10.0 		 2.0		9.9		2.0
	 3.0 		 1.0		2.0		1.0
	 7.0 		 1.0		10.0	1.0
	 36.0 		 8.0		33.3	6.0
	 26.0 		 5.0		21.0	3.0
	 24.8 		 5.9		23.8	5.0
	 36.4 		 5.0		30.7	5.0
	 29.3 		 5.9		33.3	5.0
	 45.0 		 7.0		41.6	7.0
	 5.9 		 1.0		4.0		1.0
	 30.0 		 6.9		27.7	5.9
	 31.0 		 6.0		32.0	6.0
	 14.0 		 2.0		10.0	1.0
	 41.4 		 6.0		51.5	6.0
	 12.0 		 1.0		9.0		1.0
	 31.0 		 6.0		26.7	6.0
	 7.0 		 1.0		3.0		1.0
	 2.0 		 0.0		2.0		0.0
	 21.2 		 7.9		19.0	7.9
	 19.8 		 9.0		20.0	5.0
	 5.0 		 2.0		3.0		1.0
	 5.9 		 0.0		5.0		1.0
	 32.3 		 9.9		28.0		5.9
	 80.2 		 45.5		76.2		43.6
	 51.0 		 19.6		42.0		13.9
	 59.4 		 21.0		54.5		17.8
	 31.7 		 9.8		28.7		5.0
	 25.7 		 6.0		22.2		3.0
	 26.7 		 6.0		24.5		2.0
	 28.4 		 5.0		22.8		2.0
	 38.0 		 10.9		37.0		6.0
	 22.2 		 5.0		21.0		3.0
	 21.8 		 5.0		21.0		3.0
	 20.8 		 5.9		19.8		2.0
	 20.0 		 5.9		20.8		2.0
	 35.4 		 8.0		28.0		4.0
	 22.8 		 4.0		19.8		2.0
	 22.0 		 6.9		22.0		3.0
	 50.5 		 12.9		47.0		8.9
	 90.1 		 22.0		78.8		20.8
	 98.0 		 33.7		98.0		25.7
